nom,nom_parent,xpath
MIQ2-Gr1,MIQ2,#Direct\ Planning\ Tree_1753 > div:nth-child(1) > span:nth-child(5)
MIQ2-Gr1 DI,MIQ2,#Direct\ Planning\ Tree_582 > div:nth-child(1) > span:nth-child(5)
MIQ2-Gr2,MIQ2,#Direct\ Planning\ Tree_1110 > div:nth-child(1) > span:nth-child(5)
MIQ3-Gr1,MIQ3_Gr1,#Direct\ Planning\ Tree_1614 > div:nth-child(1)
MIQ3-Gr2,MIQ3_Gr2,#Direct\ Planning\ Tree_1615 > div:nth-child(1) > span:nth-child(5)
MIQ4-Gr1,MIQ4,#Direct\ Planning\ Tree_375 > div:nth-child(1) > span:nth-child(5)
MIQ4-Gr2,MIQ4,#Direct\ Planning\ Tree_499 > div:nth-child(1) > span:nth-child(5)
MIQ4-P1,MIQ4,#Direct\ Planning\ Tree_3158 > div:nth-child(1) > span:nth-child(5)
MIQ4-P2 TP Gr1,MIQ4,#Direct\ Planning\ Tree_3159 > div:nth-child(1) > span:nth-child(5)
MIQ4-P2 TP Gr2,MIQ4,#Direct\ Planning\ Tree_3168 > div:nth-child(1) > span:nth-child(5)
MIQ4-P3 TP Gr1,MIQ4,#Direct\ Planning\ Tree_3160 > div:nth-child(1) > span:nth-child(5)
MIQ4-P3 TP Gr2,MIQ4,#Direct\ Planning\ Tree_3173 > div:nth-child(1) > span:nth-child(5)
MIQ4-P4 TP Gr1,MIQ4,#Direct\ Planning\ Tree_3161 > div:nth-child(1) > span:nth-child(5)
MIQ4-P4 TP Gr2,MIQ4,#Direct\ Planning\ Tree_3169 > div:nth-child(1) > span:nth-child(5)
STH1LA-Gr1,STH1LA,#Direct\ Planning\ Tree_716 > div:nth-child(1) > span:nth-child(5)
STH1LA-Gr2,STH1LA,#Direct\ Planning\ Tree_748 > div:nth-child(1)
STH1LA-Gr3,STH1LA,#Direct\ Planning\ Tree_849 > div:nth-child(1) > span:nth-child(5)
STH1LA-Gr2 2LF,STH1LA,#Direct\ Planning\ Tree_563 > div:nth-child(1) > img:nth-child(4)
STH1LA-Gr4,STH1LA,#Direct\ Planning\ Tree_850 > div:nth-child(1) > span:nth-child(5)
STH1LA-Gr5,STH1LA,#Direct\ Planning\ Tree_851 > div:nth-child(1)
STH1LA-Gr6,STH1LA,#Direct\ Planning\ Tree_853 > div:nth-child(1) > img:nth-child(4)
STH1LA-Gr7,STH1LA,#Direct\ Planning\ Tree_854 > div:nth-child(1) > span:nth-child(5)
STH1LA-Gr8,STH1LA,#Direct\ Planning\ Tree_855 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr1 DI,STH1LB,#Direct\ Planning\ Tree_976 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr2 DI,STH1LB,#Direct\ Planning\ Tree_2347 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr3 2LF,STH1LB,#Direct\ Planning\ Tree_982 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr4,STH1LB,#Direct\ Planning\ Tree_984 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr4 2LF,STH1LB,#Direct\ Planning\ Tree_3930 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr5,STH1LB,#Direct\ Planning\ Tree_988 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr6,STH1LB,#Direct\ Planning\ Tree_989 > div:nth-child(1)
STH1LB-Gr7,STH1LB,#Direct\ Planning\ Tree_27 > div:nth-child(1) > span:nth-child(5)
STH1LB-Gr8,STH1LB,#Direct\ Planning\ Tree_51 > div:nth-child(1) > span:nth-child(5)
LABO-MIQ,Salles,#Direct\ Planning\ Tree_321 > div:nth-child(1) > span:nth-child(5)
MACHINE-CONVENTIONELLES,Salles,#Direct\ Planning\ Tree_319 > div:nth-child(1)
